Depth_Top,Assay_Num,Core_Location,Assay_Date,Temperature,Media,Photoperiod,Treatment,Media1,Media2,Temp1,Temp2,Temp3,Photo1,Photo2,Germinated,Seeds_Planted
0,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,2,8
0,3,2,2010,1,1,1,0,0,0,1,0,0,1,0,7,26
0,6,11,2013,3,2,1,0,1,0,0,0,0,1,0,4,13
0,6,11,2013,4,2,1,0,1,0,0,0,1,1,0,2,13
0,6,11,2013,4,3,1,0,0,1,0,0,1,1,0,1,12
0,7,11,2013,3,2,1,0,1,0,0,0,0,1,0,0,8
0,7,11,2013,4,2,1,0,1,0,0,0,1,1,0,0,8
0,7,11,2013,4,3,1,0,0,1,0,0,1,1,0,0,8
0,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,40,168
0,8,7,2017,3,1,3,0,0,0,0,0,0,0,0,58,192
0,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,9,125
0,9,1,2017,3,1,3,0,0,0,0,0,0,0,0,10,31
0,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,4,7
0,9,3,2017,3,1,3,0,0,0,0,0,0,0,0,7,18
0,10,1,2017,3,1,3,0,0,0,0,0,0,0,0,3,18
0,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,60,132
1,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,1,15
1,12,3,2018,3,1,3,0,0,0,0,0,0,0,0,6,18
1.75,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,1,5
2,1,1,2003,1,1,1,0,0,0,1,0,0,1,0,6,65
2,2,1,2004,1,1,1,0,0,0,1,0,0,1,0,40,100
2,3,2,2010,1,1,1,0,0,0,1,0,0,1,0,1,30
2,3,2,2010,1,1,1,1,0,0,1,0,0,1,0,0,5
2,3,3,2010,1,1,1,0,0,0,1,0,0,1,0,1,3
2,4,6,2010,1,2,1,0,1,0,1,0,0,1,0,0,2
2,4,6,2010,1,2,2,0,1,0,1,0,0,0,1,0,1
2,4,6,2010,2,2,1,0,1,0,0,1,0,1,0,0,1
2,4,6,2010,2,2,2,0,1,0,0,1,0,0,1,0,1
2,4,6,2010,3,2,1,0,1,0,0,0,0,1,0,0,1
2,4,6,2010,3,2,2,0,1,0,0,0,0,0,1,0,1
2,4,8,2010,1,2,1,0,1,0,1,0,0,1,0,0,1
2,4,8,2010,1,2,2,0,1,0,1,0,0,0,1,0,1
2,4,8,2010,2,2,1,0,1,0,0,1,0,1,0,0,1
2,4,8,2010,2,2,2,0,1,0,0,1,0,0,1,0,1
2,4,8,2010,3,2,1,0,1,0,0,0,0,1,0,0,1
2,8,2,2017,3,1,3,0,0,0,0,0,0,0,0,4,95
2,8,3,2017,3,1,3,0,0,0,0,0,0,0,0,0,1
2,8,7,2017,3,1,3,0,0,0,0,0,0,0,0,75,273
2,8,10,2017,3,1,3,0,0,0,0,0,0,0,0,15,80
2,12,7,2018,3,1,3,0,0,0,0,0,0,0,0,0,24
2,13,7,2019,3,1,3,0,0,0,0,0,0,0,0,66,122
2.75,12,10,2018,3,1,3,0,0,0,0,0,0,0,0,9,18
3,9,2,2017,3,1,3,0,0,0,0,0,0,0,0,1,3
3,12,3,2018,3,1,3,0,0,0,0,0,0,0,0,5,18
3.5,10,10,2017,3,1,3,0,0,0,0,0,0,0,0,0,17
3.5,11,10,2018,3,1,3,0,0,0,0,0,0,0,0,0,18
3.5,12,1,2018,3,1,3,0,0,0,0,0,0,0,0,12,24
