Core_Location,Pred_Decade,Total_Seeds_Planted,Total_Seeds_Germinated
1,1810,2,0
1,1830,1,0
1,1840,12,0
1,1850,1,0
1,1860,23,0
1,1870,330,0
1,1880,502,1
1,1890,356,0
1,1900,587,11
1,1910,132,0
1,1920,164,2
1,1930,48,0
1,1940,424,10
1,1950,261,44
1,1960,109,41
1,1970,257,60
1,1980,31,4
1,1990,141,12
1,2000,214,65
1,2020,49,13
2,1780,24,0
2,1790,3,0
2,1800,18,0
2,1810,28,0
2,1820,18,0
2,1830,39,0
2,1840,36,2
2,1850,17,0
2,1860,49,0
2,1870,128,0
2,1880,58,0
2,1890,157,1
2,1900,179,8
2,1910,248,0
2,1920,519,15
2,1930,159,8
2,1940,111,6
2,1950,156,2
2,1960,95,2
2,1970,134,2
2,1980,125,2
2,1990,125,11
2,2000,126,7
2,2010,144,14
2,2020,175,44
3,1770,1,0
3,1850,5,0
3,1860,8,0
3,1870,8,0
3,1890,13,0
3,1930,3,0
3,1940,2,0
3,1950,9,1
3,1960,19,1
3,1970,29,5
3,1980,7,2
3,1990,27,7
3,2000,22,6
3,2010,37,11
3,2020,18,7
4,1840,5,0
4,1860,11,0
4,1880,32,0
4,1910,11,1
4,1920,31,2
4,1930,33,2
4,1950,41,0
4,1970,12,0
4,1980,11,4
4,1990,14,1
5,1930,2,1
5,1980,2,1
6,1980,3,1
6,1990,8,0
6,2000,7,0
7,1900,216,1
7,1910,144,1
7,1930,144,10
7,1940,117,3
7,1950,60,0
7,1960,44,0
7,1970,258,26
7,1980,231,42
7,1990,270,44
7,2000,276,116
7,2010,419,141
7,2020,324,118
8,1930,1,0
8,1970,2,0
8,1990,2,1
8,2000,5,0
9,1970,2,0
9,1990,21,5
10,1790,2,0
10,1800,4,0
10,1810,2,0
10,1820,18,0
10,1830,17,0
10,1840,78,3
10,1850,25,0
10,1860,34,0
10,1870,2,0
10,1880,3,0
10,1900,6,0
10,1910,13,0
10,1920,15,0
10,1930,4,0
10,1940,10,1
10,1950,38,4
10,1960,44,3
10,1970,74,3
10,1980,97,10
10,1990,116,19
10,2000,219,50
10,2010,98,24
10,2020,125,9
11,2010,62,7
