Depth_Top,Core_Location,Temperature,Media,Treatment,Photoperiod,Temp1,Temp2,Temp3,Media1,Media2,Photo1,Photo2,Germinated,Seeds_Planted
0,1,1,1,0,1,1,0,0,0,0,1,0,2,8
0,1,3,1,0,3,0,0,0,0,0,0,0,13,49
0,2,1,1,0,1,1,0,0,0,0,1,0,7,26
0,2,3,1,0,3,0,0,0,0,0,0,0,44,175
0,3,3,1,0,3,0,0,0,0,0,0,0,7,18
0,7,3,1,0,3,0,0,0,0,0,0,0,118,324
0,10,3,1,0,3,0,0,0,0,0,0,0,9,125
0,11,3,2,0,1,0,0,0,1,0,1,0,4,21
0,11,4,2,0,1,0,0,1,1,0,1,0,2,21
0,11,4,3,0,1,0,0,1,0,1,1,0,1,20
1,2,3,1,0,3,0,0,0,0,0,0,0,1,15
1,3,3,1,0,3,0,0,0,0,0,0,0,6,18
1.75,2,3,1,0,3,0,0,0,0,0,0,0,1,5
2,1,1,1,0,1,1,0,0,0,0,1,0,46,165
2,2,1,1,0,1,1,0,0,0,0,1,0,1,30
2,2,1,1,1,1,1,0,0,0,0,1,0,0,5
2,2,3,1,0,3,0,0,0,0,0,0,0,4,95
2,3,1,1,0,1,1,0,0,0,0,1,0,1,3
2,3,3,1,0,3,0,0,0,0,0,0,0,0,1
2,6,1,2,0,1,1,0,0,1,0,1,0,0,2
2,6,1,2,0,2,1,0,0,1,0,0,1,0,1
2,6,2,2,0,1,0,1,0,1,0,1,0,0,1
2,6,2,2,0,2,0,1,0,1,0,0,1,0,1
2,6,3,2,0,1,0,0,0,1,0,1,0,0,1
2,6,3,2,0,2,0,0,0,1,0,0,1,0,1
2,7,3,1,0,3,0,0,0,0,0,0,0,141,419
2,8,1,2,0,1,1,0,0,1,0,1,0,0,1
2,8,1,2,0,2,1,0,0,1,0,0,1,0,1
2,8,2,2,0,1,0,1,0,1,0,1,0,0,1
2,8,2,2,0,2,0,1,0,1,0,0,1,0,1
2,8,3,2,0,1,0,0,0,1,0,1,0,0,1
2,10,3,1,0,3,0,0,0,0,0,0,0,15,80
2.75,10,3,1,0,3,0,0,0,0,0,0,0,9,18
3,2,3,1,0,3,0,0,0,0,0,0,0,1,3
3,3,3,1,0,3,0,0,0,0,0,0,0,5,18
3.5,1,3,1,0,3,0,0,0,0,0,0,0,12,24
3.5,10,3,1,0,3,0,0,0,0,0,0,0,0,35
3.75,2,3,1,0,3,0,0,0,0,0,0,0,2,18
4,1,1,1,0,1,1,0,0,0,0,1,0,1,3
4,1,1,1,1,1,1,0,0,0,0,1,0,0,84
4,1,3,2,0,1,0,0,0,1,0,1,0,4,6
4,1,4,2,0,1,0,0,1,1,0,1,0,1,6
4,1,4,3,0,1,0,0,1,0,1,1,0,0,5
4,2,1,1,0,1,1,0,0,0,0,1,0,2,34
4,2,3,1,0,3,0,0,0,0,0,0,0,1,70
4,3,3,1,0,3,0,0,0,0,0,0,0,0,1
4,4,1,2,0,2,1,0,0,1,0,0,1,0,1
4,4,2,2,0,1,0,1,0,1,0,1,0,0,2
4,4,2,2,0,2,0,1,0,1,0,0,1,0,2
4,4,3,2,0,1,0,0,0,1,0,1,0,1,1
4,4,3,2,0,2,0,0,0,1,0,0,1,0,1
4,6,1,2,0,2,1,0,0,1,0,0,1,0,1
4,6,2,2,0,1,0,1,0,1,0,1,0,0,1
4,6,2,2,0,2,0,1,0,1,0,0,1,0,1
4,6,3,2,0,1,0,0,0,1,0,1,0,0,1
4,7,1,2,0,1,1,0,0,1,0,1,0,0,8
4,7,1,2,0,2,1,0,0,1,0,0,1,0,8
4,7,2,2,0,1,0,1,0,1,0,1,0,2,8
4,7,2,2,0,2,0,1,0,1,0,0,1,1,7
4,7,3,1,0,3,0,0,0,0,0,0,0,116,276
4,7,3,2,0,1,0,0,0,1,0,1,0,1,8
4,7,3,2,0,2,0,0,0,1,0,0,1,0,8
4,10,3,1,0,3,0,0,0,0,0,0,0,26,117
5,3,3,1,0,3,0,0,0,0,0,0,0,5,18
5,10,3,1,0,3,0,0,0,0,0,0,0,6,19
5.25,2,3,1,0,3,0,0,0,0,0,0,0,3,3
5.5,10,3,1,0,3,0,0,0,0,0,0,0,18,48
5.75,2,3,1,0,3,0,0,0,0,0,0,0,7,18
6,1,1,1,0,1,1,0,0,0,0,1,0,3,7
6,1,3,2,0,1,0,0,0,1,0,1,0,4,6
6,1,4,2,0,1,0,0,1,1,0,1,0,1,6
6,1,4,3,0,1,0,0,1,0,1,1,0,0,6
6,2,1,1,0,1,1,0,0,0,0,1,0,1,8
6,2,1,1,1,1,1,0,0,0,0,1,0,0,2
6,2,3,1,0,3,0,0,0,0,0,0,0,0,47
6,4,1,2,0,1,1,0,0,1,0,1,0,0,2
6,4,1,2,0,2,1,0,0,1,0,0,1,0,1
6,4,2,2,0,1,0,1,0,1,0,1,0,0,1
6,4,2,2,0,2,0,1,0,1,0,0,1,0,1
6,4,3,2,0,1,0,0,0,1,0,1,0,0,1
6,4,3,2,0,2,0,0,0,1,0,0,1,0,1
6,6,1,2,0,1,1,0,0,1,0,1,0,0,2
6,6,1,2,0,2,1,0,0,1,0,0,1,0,1
6,6,2,2,0,1,0,1,0,1,0,1,0,0,1
6,7,1,2,0,1,1,0,0,1,0,1,0,4,10
6,7,1,2,0,2,1,0,0,1,0,0,1,4,10
6,7,2,2,0,1,0,1,0,1,0,1,0,2,9
6,7,2,2,0,2,0,1,0,1,0,0,1,0,9
6,7,3,1,0,3,0,0,0,0,0,0,0,23,135
6,7,3,2,0,1,0,0,0,1,0,1,0,2,9
6,7,3,2,0,2,0,0,0,1,0,0,1,1,10
6,8,3,2,0,1,0,0,0,1,0,1,0,1,1
6,8,3,2,0,2,0,0,0,1,0,0,1,0,1
6,9,1,2,0,1,1,0,0,1,0,1,0,2,4
6,9,1,2,0,2,1,0,0,1,0,0,1,1,4
6,9,2,2,0,1,0,1,0,1,0,1,0,0,4
6,9,2,2,0,2,0,1,0,1,0,0,1,1,5
6,9,3,2,0,1,0,0,0,1,0,1,0,0,2
6,9,3,2,0,2,0,0,0,1,0,0,1,1,2
